Test Start Time: Thu Nov  2 11:07:32 2017
-----------------------------------------
Testcase                       Result     Exit Value
--------                       ------     ----------
abort01                        PASS       0    
accept01                       PASS       0    
accept4_01                     PASS       0    
access01                       PASS       0    
access02                       PASS       0    
access03                       PASS       0    
access04                       PASS       0    
acct01                         PASS       0    
add_key01                      PASS       0    
add_key02                      PASS       0    
adjtimex01                     PASS       0    
adjtimex02                     PASS       0    
alarm01                        PASS       0    
alarm02                        PASS       0    
alarm03                        PASS       0    
alarm05                        PASS       0    
alarm06                        PASS       0    
alarm07                        PASS       0    
asyncio02                      PASS       0    
bind01                         PASS       0    
bind02                         PASS       0    
bdflush01                      CONF       32   
brk01                          PASS       0    
capget01                       PASS       0    
capget02                       PASS       0    
capset01                       PASS       0    
capset02                       PASS       0    
cacheflush01                   CONF       32   
chdir01                        PASS       0    
chdir01A                       PASS       0    
chdir02                        PASS       0    
chdir03                        PASS       0    
chdir04                        PASS       0    
chmod01                        PASS       0    
chmod01A                       PASS       0    
chmod02                        PASS       0    
chmod03                        PASS       0    
chmod04                        PASS       0    
chmod05                        PASS       0    
chmod06                        PASS       0    
chmod07                        PASS       0    
chown01                        PASS       0    
chown01_16                     CONF       32   
chown02                        PASS       0    
chown02_16                     CONF       32   
chown03                        PASS       0    
chown03_16                     CONF       32   
chown04                        PASS       0    
chown04_16                     CONF       32   
chown05                        PASS       0    
chown05_16                     CONF       32   
chroot01                       PASS       0    
chroot02                       PASS       0    
chroot03                       PASS       0    
chroot04                       PASS       0    
clock_getres01                 PASS       0    
clock_nanosleep01              PASS       0    
clock_nanosleep02              PASS       0    
clock_nanosleep2_01            PASS       0    
clone01                        PASS       0    
clone02                        PASS       0    
clone03                        PASS       0    
clone04                        PASS       0    
clone05                        PASS       0    
clone06                        PASS       0    
clone07                        PASS       0    
clone08                        PASS       0    
clone09                        PASS       0    
close01                        PASS       0    
close02                        PASS       0    
close08                        PASS       0    
confstr01                      PASS       0    
connect01                      PASS       0    
creat01                        PASS       0    
creat03                        PASS       0    
creat04                        PASS       0    
creat05                        PASS       0    
creat06                        PASS       0    
creat07                        PASS       0    
creat08                        PASS       0    
dup01                          PASS       0    
dup02                          PASS       0    
dup03                          PASS       0    
dup04                          PASS       0    
dup05                          PASS       0    
dup06                          PASS       0    
dup07                          PASS       0    
dup201                         PASS       0    
dup202                         PASS       0    
dup203                         PASS       0    
dup204                         PASS       0    
dup205                         PASS       0    
dup3_01                        PASS       0    
dup3_02                        PASS       0    
epoll_create1_01               PASS       0    
epoll01                        PASS       0    
epoll_ctl01                    PASS       0    
epoll_ctl02                    PASS       0    
epoll_wait01                   PASS       0    
epoll_wait02                   PASS       0    
epoll_wait03                   PASS       0    
epoll_pwait01                  PASS       0    
eventfd01                      PASS       0    
eventfd2_01                    PASS       0    
eventfd2_02                    PASS       0    
eventfd2_03                    PASS       0    
execl01                        PASS       0    
execle01                       PASS       0    
execlp01                       PASS       0    
execv01                        PASS       0    
execve01                       PASS       0    
execve02                       PASS       0    
execve03                       PASS       0    
execve04                       PASS       0    
execve05                       PASS       0    
execvp01                       PASS       0    
exit01                         PASS       0    
exit02                         PASS       0    
exit_group01                   PASS       0    
faccessat01                    PASS       0    
fallocate01                    PASS       0    
fallocate02                    PASS       0    
fallocate03                    PASS       0    
fallocate04                    PASS       0    
posix_fadvise01                PASS       0    
posix_fadvise01_64             PASS       0    
posix_fadvise02                PASS       0    
posix_fadvise02_64             PASS       0    
posix_fadvise03                PASS       0    
posix_fadvise03_64             PASS       0    
posix_fadvise04                PASS       0    
posix_fadvise04_64             PASS       0    
fchdir01                       PASS       0    
fchdir02                       PASS       0    
fchdir03                       PASS       0    
fchmod01                       PASS       0    
fchmod02                       PASS       0    
fchmod03                       PASS       0    
fchmod04                       PASS       0    
fchmod05                       PASS       0    
fchmod06                       PASS       0    
fchmod07                       PASS       0    
fchmodat01                     PASS       0    
fchown01                       PASS       0    
fchown01_16                    CONF       32   
fchown02                       PASS       0    
fchown02_16                    CONF       32   
fchown03                       PASS       0    
fchown03_16                    CONF       32   
fchown04                       PASS       0    
fchown04_16                    CONF       32   
fchown05                       PASS       0    
fchown05_16                    CONF       32   
fchownat01                     PASS       0    
fchownat02                     PASS       0    
fcntl01                        PASS       0    
fcntl01_64                     PASS       0    
fcntl02                        PASS       0    
fcntl02_64                     PASS       0    
fcntl03                        PASS       0    
fcntl03_64                     PASS       0    
fcntl04                        PASS       0    
fcntl04_64                     PASS       0    
fcntl05                        PASS       0    
fcntl05_64                     PASS       0    
fcntl06                        CONF       32   
fcntl06_64                     CONF       32   
fcntl07                        PASS       0    
fcntl07_64                     PASS       0    
fcntl08                        PASS       0    
fcntl08_64                     PASS       0    
fcntl09                        PASS       0    
fcntl09_64                     PASS       0    
fcntl10                        PASS       0    
fcntl10_64                     PASS       0    
fcntl11                        PASS       0    
fcntl11_64                     PASS       0    
fcntl12                        PASS       0    
fcntl12_64                     PASS       0    
fcntl13                        PASS       0    
fcntl13_64                     PASS       0    
fcntl14                        PASS       0    
fcntl14_64                     PASS       0    
fcntl15                        PASS       0    
fcntl15_64                     PASS       0    
fcntl16                        PASS       0    
fcntl16_64                     PASS       0    
fcntl17                        PASS       0    
fcntl17_64                     PASS       0    
fcntl18                        PASS       0    
fcntl18_64                     PASS       0    
fcntl19                        PASS       0    
fcntl19_64                     PASS       0    
fcntl20                        PASS       0    
fcntl20_64                     PASS       0    
fcntl21                        PASS       0    
fcntl21_64                     PASS       0    
fcntl22                        PASS       0    
fcntl22_64                     PASS       0    
fcntl23                        PASS       0    
fcntl23_64                     PASS       0    
fcntl24                        PASS       0    
fcntl24_64                     PASS       0    
fcntl25                        PASS       0    
fcntl25_64                     PASS       0    
fcntl26                        PASS       0    
fcntl26_64                     PASS       0    
fcntl27                        PASS       0    
fcntl27_64                     PASS       0    
fcntl28                        PASS       0    
fcntl28_64                     PASS       0    
fcntl29                        PASS       0    
fcntl29_64                     PASS       0    
fcntl30                        PASS       0    
fcntl30_64                     PASS       0    
fcntl31                        PASS       0    
fcntl31_64                     PASS       0    
fcntl32                        PASS       0    
fcntl32_64                     PASS       0    
fcntl33                        PASS       0    
fcntl33_64                     PASS       0    
fcntl34                        PASS       0    
fcntl34_64                     PASS       0    
fcntl35                        FAIL       1    
fcntl35_64                     FAIL       1    
fcntl36                        PASS       0    
fcntl36_64                     PASS       0    
fdatasync01                    PASS       0    
fdatasync02                    PASS       0    
flistxattr01                   PASS       0    
flistxattr02                   PASS       0    
flistxattr03                   PASS       0    
flock01                        PASS       0    
flock02                        PASS       0    
flock03                        PASS       0    
flock04                        PASS       0    
flock05                        PASS       0    
flock06                        PASS       0    
fmtmsg01                       PASS       0    
fork01                         PASS       0    
fork02                         PASS       0    
fork03                         PASS       0    
fork04                         PASS       0    
fork05                         PASS       0    
fork06                         PASS       0    
fork07                         PASS       0    
fork08                         PASS       0    
fork09                         PASS       0    
fork10                         PASS       0    
fork11                         PASS       0    
fork13                         PASS       0    
fork14                         PASS       0    
fpathconf01                    PASS       0    
fstat01                        PASS       0    
fstat01_64                     PASS       0    
fstat02                        PASS       0    
fstat02_64                     PASS       0    
fstat03                        PASS       0    
fstat03_64                     PASS       0    
fstat05                        PASS       0    
fstat05_64                     PASS       0    
fstatat01                      PASS       0    
fstatfs01                      PASS       0    
fstatfs01_64                   PASS       0    
fstatfs02                      PASS       0    
fstatfs02_64                   PASS       0    
fsync01                        PASS       0    
fsync02                        PASS       0    
fsync03                        PASS       0    
ftruncate01                    PASS       0    
ftruncate01_64                 PASS       0    
ftruncate02                    PASS       0    
ftruncate02_64                 PASS       0    
ftruncate03                    PASS       0    
ftruncate03_64                 PASS       0    
ftruncate04                    PASS       0    
ftruncate04_64                 PASS       0    
futimesat01                    PASS       0    
getcontext01                   PASS       0    
getcpu01                       PASS       0    
getcwd01                       PASS       0    
getcwd02                       PASS       0    
getcwd03                       PASS       0    
getcwd04                       PASS       0    
getdents01                     PASS       0    
getdents02                     PASS       0    
getdents01_64                  PASS       0    
getdents02_64                  PASS       0    
getdomainname01                PASS       0    
getdtablesize01                PASS       0    
getegid01                      PASS       0    
getegid01_16                   CONF       32   
getegid02                      PASS       0    
getegid02_16                   CONF       32   
geteuid01                      PASS       0    
geteuid01_16                   CONF       32   
geteuid02                      PASS       0    
geteuid02_16                   CONF       32   
getgid01                       PASS       0    
getgid01_16                    CONF       32   
getgid03                       PASS       0    
getgid03_16                    CONF       32   
getgroups01                    PASS       0    
getgroups01_16                 CONF       32   
getgroups03                    PASS       0    
getgroups03_16                 CONF       32   
gethostbyname_r01              PASS       0    
gethostid01                    PASS       0    
gethostname01                  PASS       0    
getitimer01                    PASS       0    
getitimer02                    PASS       0    
getitimer03                    PASS       0    
getpagesize01                  PASS       0    
getpeername01                  PASS       0    
getpgid01                      PASS       0    
getpgid02                      PASS       0    
getpgrp01                      PASS       0    
getpid01                       PASS       0    
getpid02                       PASS       0    
getppid01                      PASS       0    
getppid02                      PASS       0    
getpriority01                  PASS       0    
getpriority02                  PASS       0    
getrandom01                    PASS       0    
getrandom02                    PASS       0    
getrandom03                    PASS       0    
getrandom04                    PASS       0    
getresgid01                    PASS       0    
getresgid02                    PASS       0    
getresgid03                    PASS       0    
getresuid01                    PASS       0    
getresuid02                    PASS       0    
getresuid03                    PASS       0    
getrlimit01                    PASS       0    
getrlimit02                    PASS       0    
get_mempolicy01                CONF       32   
get_robust_list01              PASS       0    
getrusage01                    PASS       0    
getrusage02                    PASS       0    
getrusage03                    PASS       0    
getrusage04                    PASS       0    
getsid01                       PASS       0    
getsid02                       PASS       0    
getsockname01                  PASS       0    
getsockopt01                   PASS       0    
getsockopt02                   PASS       0    
gettid01                       PASS       0    
gettimeofday01                 PASS       0    
gettimeofday02                 PASS       0    
getuid01                       PASS       0    
getuid01_16                    CONF       32   
getuid03                       PASS       0    
getuid03_16                    CONF       32   
getxattr01                     PASS       0    
getxattr02                     PASS       0    
getxattr03                     PASS       0    
getxattr04                     CONF       32   
ioctl01_02                     PASS       0    
ioctl03                        PASS       0    
ioctl04                        PASS       0    
ioctl05                        PASS       0    
ioctl06                        PASS       0    
